ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME,SYSDATE,CTRLM_TABLE_NAME,JOBNAME,SCRIPT_NAME,DESCRIPTION,INTERFACE_NAME,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROMTIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,RESTATMENT_RUN_TIME,RESTATMENT_START_TIME,FISCAL_YEAR_END_RUN_TIME,FISCAL_YEAR_END_START_TIME,ACTUAL_RUN_TIME,RUN_TIME_DIFF,NEW_THRESHOLD_START_TIME,START_TIME_DIFF,LATE_START,FAILED,LONG_RUN,NOT_STARTED,REGION,APPLICATION,JOB_TYPE,DM_WORK_GROUP,LOG_CAPTURED_TIMESTAMP
1000,0,134819.0,9, ,AA,0,0,20190623125440,20190623125430, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001n,SEBLG407@-SIEBEL016,4c46k,312,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001o,SEBLG407@-SIEBEL016,4c46v, ,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ob,SEBLG408@-SIEBEL014,4c3jy, ,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
800,0,82058.0,8, ,AA,0,0,20190623082105,20190623082057, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001p,SEBLG407@-SIEBEL016,4c46l,4640,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
1600,0,154155.0,18, ,AA,0,0,20190623132800,20190623132744, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ua,SEBLG409@-SIEBEL018,4c3uw,10556,SEBLG409@-SIEBEL018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
1700,0,203116.0,28, ,AA,0,0,20190623043514,20190623043456, ,Ended OK,Run (2) ,190622,sebl2001_imp_opt_anaplan.bat,SEBLJ2001uaf,SEBLG409@-SIEBEL018,4c1wz,3976,SEBLG409@-SIEBEL018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
1500,0,154215.0,16, ,AA,0,0,20190623132817,20190623132801, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ub,SEBLG409@-SIEBEL018,4c3ux,3148,SEBLG409@-SIEBEL018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
1600,0,203239.0,18, ,AA,0,0,20190623043532,20190623043515, ,Ended OK,Run (2) ,190622,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ubf,SEBLG409@-SIEBEL018,4c1x0,13136,SEBLG409@-SIEBEL018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
2400,0,154233.0,20, ,AA,0,0,20190623132841,20190623132817, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001uc,SEBLG409@-SIEBEL018,4c3uy,7404,SEBLG409@-SIEBEL018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
20300,0,203319.0,358, ,AA,0,0,20190623043857,20190623043533, ,Ended OK,Run (2) ,190622,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ucf,SEBLG409@-SIEBEL018,4c1x1,7184,SEBLG409@-SIEBEL018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
